F1-BL1:  0.14087240257824143
F1-Pred:  0.39001201039001115
Prec-BL1:  0.1464145984476439
Prec-Pred:  0.39635091945525264
Rec-BL1:  0.13923066790263885
Rec-Pred:  0.38933528737602835
Pearson F1 Scores:  (0.3380272598902395, 2.0627144549065533e-41)
std dev BL1:  0.22668551776064022
std dev pred:  0.36181762192100947
