F1-BL2:  0.5970507692034785
F1-Pred:  0.39001201039001115
Prec-BL2:  0.6132262236765817
Prec-Pred:  0.39635091945525264
Rec-BL2:  0.5926550498355903
Rec-Pred:  0.38933528737602835
Pearson F1 Scores:  (0.6184146924865345, 5.530657189033024e-159)
std dev BL2:  0.32752314006556826
std dev pred:  0.36181762192100947
