F1-BL1:  0.12441355091852738
F1-Pred:  0.6448418384546244
Prec-BL1:  0.12919695258792055
Prec-Pred:  0.6616274035408014
Rec-BL1:  0.12337826202007991
Rec-Pred:  0.6398335522791564
Pearson F1 Scores:  (0.2804315501980343, 1.6591580949229954e-28)
std dev BL1:  0.1892446479406321
std dev pred:  0.32583878008699046
