F1-Gold:  0.7746029096789566
F1-Pred:  0.6448418384546244
Prec-Gold:  0.7969261223940945
Prec-Pred:  0.6616274035408014
Rec-Gold:  0.766589646919265
Rec-Pred:  0.6398335522791564
Pearson F1 Scores:  (0.7496214337800232, 8.983217705385425e-271)
std dev gold:  0.2478098869849096
std dev pred:  0.32583878008699046
