F1-BL1:  0.13754984111088908
F1-Pred:  0.7636554417366199
Prec-BL1:  0.14320209693120606
Prec-Pred:  0.7850915327339343
Rec-BL1:  0.1360840801492662
Rec-Pred:  0.7559240386590497
Pearson F1 Scores:  (0.2222531976852222, 3.043846683708238e-18)
std dev BL1:  0.20457628009371712
std dev pred:  0.25743908914168173
